CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40123,FIN,301,A,3,Intro To Business Finance,MTWR,08:30 am-11:40 am,Terry David Nixon (P),01/02-01/13,FSB 0025
,,,,,,TWRF,08:30 am-11:40 am,TBA,01/15-01/21,FSB 0025
40369,FIN,301,B,3,Intro To Business Finance,MTWR,01:00 pm-04:10 pm,Terry David Nixon (P),01/02-01/14,FSB 0025
,,,,,,TWRF,01:00 pm-04:10 pm,TBA,01/15-01/21,FSB 0025
40125,FIN,303,A,3,Financial Modeling with Excel,MTWR,08:30 am-11:40 am,Bradley Allen Goldie (P),01/02-01/14,FSB 1013
,,,,,,TWRF,08:30 am-11:40 am,TBA,01/15-01/21,FSB 1013
41255,FIN,320,A,3,Applied Equity Analysis,MTWR,09:00 am-11:30 am,David Guy Shrider (P),01/02-01/13,FSB 0005
,,,,,,,TBA,TBA,01/14-01/20,TBA
40130,FIN,331,A,3,Real Estate Principles,MTWR,01:00 pm-04:10 pm,David W. Marshall (P),01/02-01/14,FSB 0032
,,,,,,TWRF,01:00 pm-04:10 pm,TBA,01/15-01/21,FSB 0032
41213,FIN,417,A,3,International Business Finance,MTWRF,08:00 am-08:00 pm,Thomas Jason Boulton (P); Kim I. Suellau,12/19-01/18,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41242,FRE,131,A,3,Masterpieces Fre Lit Translatn,,TBA,Elisabeth D. Hodges (P); Kathleen N. Johnson,01/01-01/21,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40217,GEO,101,A,3,Global Forces; Local Diversity,,TBA,David Lloyd Prytherch (P),01/02-01/21,WEB
41113,GEO,101,B,3,Global Forces; Local Diversity,,TBA,Eunmok Lee (P),01/02-01/21,WEB
40531,GEO,122,A,3,Geographic Environments,,TBA,Mary Catherine Henry (P),01/02-01/21,WEB
41189,GEO,288A,A,6,GEO Field Study Abroad: Lima,,TBA,Bruce D'Arcus (P),12/19-01/30,TBA
40242,GEO,412,A,5,Tropical Ecosystems:Costa Rica,,TBA,R. Hays Cummins (P); Kevin Connor Armitage ; Donna Sue McCollum,12/28-02/04,TBA
40679,GEO,499X,A,1,Sustainability in Costa Rica,,TBA,R. Hays Cummins (P); Kevin Connor Armitage ; Donna Sue McCollum,12/28-02/04,TBA
41249,GEO,599X,A,1,Sustainability in Costa Rica,,TBA,R. Hays Cummins (P); Kevin Connor Armitage ; Donna Sue McCollum,12/28-02/04,TBA
41317,GEO,610,A,3,Research In Geography,,TBA,Bruce D'Arcus (P),12/19-01/30,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41088,GLG,111,A,3,The Dynamic Earth,MTWR,01:00 pm-04:10 pm,Hassan Mirnejad (P),01/02-01/21,SHD 032
41287,GLG,115L,A,1,Understanding The Earth,MTWR,09:00 am-11:05 am,Heather Ann Barrett (P),01/02-01/21,SHD 005
40876,GLG,335,A,3,Ice Age Earth,MTWRF,09:00 am-11:30 am,Jason A. Rech (P),01/02-01/18,SHD 052
40239,GLG,412,A,5,Tropical Ecosystems:Costa Rica,,TBA,R. Hays Cummins (P); Kevin Connor Armitage ; Donna Sue McCollum,12/28-02/04,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40707,GER,232,A,3,Holocaust: GER Lit Hst & Film,MTWR,01:00 pm-04:10 pm,Mariana Z. Ivanova (P),01/02-01/21,IRV 142
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40536,GTY,260,A,3,Global Aging,,TBA,Aaron Michael Abbott (P),01/02-01/21,WEB
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40940,HST,112,A,3,Survey Of American History,,TBA,Aaron Ivan Cavin (P),01/02-01/21,WEB
41273,HST,112,B,3,Survey Of American History,,TBA,Tammy Lynn Brown (P),01/02-01/21,WEB
41308,HST,199A,A,1,Humanities Research Methods,MTWR,10:00 am-12:00 pm,Pepper Stetler (P); Timothy D. Melley,01/09-01/19,BAC 250
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
